Individu;Sexe;Code_Territoire;Date_debut;Date_fin;Survie_6_mois;Survie_12_mois;Survie_18_mois;Survie_24_mois;Survie_30_mois;Survie_36_mois;Survie_42_mois;Survie_48_mois;Survie_54_mois;Survie_60_mois;Survie_66_mois;Mort;Cantonnement;ContrÙle;Commentaire
BA11469;M;33;23/05/2017;14/11/2017;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;21/01/2021;01/01/2024;Recrut√© en 2021, vivant en 2024
BA11475;M;33;23/05/2017;04/07/2017;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;
BA11476;F;27;24/05/2017;15/01/2018;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;
BA11484;M;19;24/05/2017;07/01/2018;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;21/01/2020;01/04/2023;Recrut√© en 2020, vivant en avril 2023
BA11495;F;13;05/06/2017;05/12/2018;Oui;Oui;Oui;?;?;?;?;?;?;?;?;NA;Non;Non;
BA11496;F;13;05/06/2017;06/02/2023;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;09/04/2021;Non;
BA11497;M;14;05/06/2017;27/12/2019;Oui;Oui;Oui;Oui;Oui;?;?;?;?;?;?;NA;30/03/2019;Non;
BA11498;F;14;05/06/2017;31/07/2021;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;01/08/2019;01/01/2024;Dernier contr√¥le janvier 2024 site 17
BA11481;M;72;13/06/2017;23/08/2017;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;
BA11482;M;72;13/06/2017;29/10/2018;Oui;Oui;?;?;?;?;?;?;?;?;?;NA;Non;Non;
BA11404;F;34;18/05/2018;29/03/2019;Oui;Non;Non;Non;Non;Non;Non;Non;Non;;;Oui;Non;Non;
BA11405;M;34;18/05/2018;04/02/2022;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;;;Oui;17/06/2020;Non;
BA11420;M;19;18/05/2018;17/10/2018;Non;Non;Non;Non;Non;Non;Non;Non;Non;;;Oui;Non;Non;
BA11421;F;24;25/05/2018;10/04/2019;Oui;?;?;?;?;?;?;?;?;;;NA;Non;Non;
BA11422;M;21;25/05/2018;19/11/2019;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;;;Oui;Non;Non;
BA11424;M;24;25/05/2018;19/06/2021;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;;;Non;01/01/2023;01/012024;Recrute en 2023 site 20, vivant 2024
BA11425;F;22;25/05/2018;02/09/2018;Non;Non;Non;Non;Non;Non;Non;Non;Non;;;Oui;Non;Non;
BA11426;F;22;25/05/2018;04/09/2018;?;?;?;?;?;?;?;?;?;;;NA;Non;Non;
BA11411;F;10;31/05/2018;28/10/2018;Non;Non;Non;Non;Non;Non;Non;Non;Non;;;Oui;Non;Non;
BA11434;F;5;31/05/2018;21/11/2018;Oui;?;?;?;?;?;?;?;?;;;NA;Non;Non;Dernier contr√¥le en 2018, sans sa balise
BA11413;F;5;01/06/2018;16/09/2018;Non;Non;Non;Non;Non;Non;Non;Non;Non;;;Oui;Non;Non;
BA11427;M;20;01/06/2018;20/03/2023;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;;;Non;24/06/2020;Non;
BA11423;M;21;11/06/2018;27/11/2018;Non;Non;Non;Non;Non;Non;Non;Non;Non;;;Oui;Non;Non;
BA11428;M;29;12/06/2018;16/07/2018;?;?;?;?;?;?;?;?;?;;;NA;Non;Non;
BA11440;F;33;22/05/2019;25/10/2019;Non;Non;Non;Non;Non;Non;Non;;;;;Oui;Non;Non;
BA11432;M;20;23/05/2019;13/04/2020;Oui;?;?;?;?;?;?;;;;;NA;Non;Non;
BA11438;F;20;23/05/2019;31/10/2019;Non;Non;Non;Non;Non;Non;Non;;;;;Oui;Non;Non;
BA11441;M;19;23/05/2019;20/03/2023;Oui;Oui;Oui;Oui;Oui;Oui;Oui;;;;;Non;22/01/2022;Non;
BA11449;M;28;27/05/2019;20/03/2023;Oui;Oui;Oui;Oui;Oui;Oui;Oui;;;;;Non;19/05/2020;Non;
BA11910;M;21;29/05/2019;13/10/2019;?;?;?;?;?;?;?;;;;;NA;Non;Non;
BA11912;F;21;29/05/2019;21/10/2022;Oui;Oui;Oui;Oui;Oui;Oui;Non;;;;;Oui;Non;Non;
BA11914;M;22;29/05/2019;15/01/2020;Oui;Non;Non;Non;Non;Non;Non;;;;;Oui;Non;Non;
BA11450;F;4;30/05/2019;20/03/2023;Oui;Oui;Oui;Oui;Oui;Oui;Oui;;;;;Non;Non;Non;
BA11909;F;2;30/05/2019;05/02/2021;Oui;Oui;Oui;Non;Non;Non;Non;;;;;Oui;Non;Non;
BA11913;F;22;30/05/2019;20/12/2020;Oui;Oui;Oui;Non;Non;Non;Non;;;;;Oui;Non;Non;
BA11917;M;2;30/05/2019;20/04/2020;Oui;Non;Non;Non;Non;Non;Non;;;;;Oui;Non;Non;
BA11905;M;4;01/06/2019;10/10/2022;Oui;Oui;Oui;Oui;Oui;Oui;Non;;;;;Oui;Non;Non;
BA11920;F;75;11/06/2019;16/10/2019;Non;Non;Non;Non;Non;Non;Non;;;;;Oui;Non;Non;
BA11921;M;75;11/06/2019;21/10/2022;Oui;Oui;Oui;Oui;Oui;Oui;?;;;;;NA;03/02/2022;Non;
BA11446;F;28;13/06/2019;27/01/2020;Oui;Non;Non;Non;Non;Non;Non;;;;;Oui;Non;Non;
BA11916;F;29;26/06/2019;23/02/2022;Oui;Oui;Oui;Oui;Oui;Non;Non;;;;;Oui;Non;Non;
BA11408;M;53;08/07/2019;25/08/2020;Oui;Oui;Oui;Oui;Oui;Oui;Oui;;;;;Non;01/01/2023;01/01/2024;recrute en 2023 site 51, vivant 2024
BA11911;F;33;13/05/2020;23/06/2020;Non;Non;Non;Non;Non;;;;;;;Oui;Non;Non;
BA11915;F;33;13/05/2020;25/06/2020;Non;Non;Non;Non;Non;;;;;;;Oui;Non;Non;
BA11926;F;20;22/05/2020;20/03/2023;Oui;Oui;Oui;Oui;Oui;;;;;;;Non;Non;Non;
BA11929;F;72;23/05/2020;07/05/2021;Oui;Oui;Oui;Oui;Oui;;;;;;;Non;01/02/2022;01/01/2023;recrute en 2022 site 18, vivant janvier 2023
BA11927;F;19;24/05/2020;20/03/2023;Oui;Oui;Oui;Oui;Oui;;;;;;;Non;22/03/2023;Non;
BA11922;M;86;25/05/2020;28/03/2021;Oui;Non;Non;Non;Non;;;;;;;Oui;Non;Non;
BA11937;M;22;27/05/2020;25/10/2020;?;?;?;?;?;;;;;;;NA;Non;Non;
BA11923;M;86;30/05/2020;18/05/2021;Oui;Non;Non;Non;Non;;;;;;;Oui;Non;Non;
BA11934;F;21;30/05/2020;06/03/2021;Oui;Non;Non;Non;Non;;;;;;;Oui;Non;Non;
BA11935;F;22;30/05/2020;21/06/2020;Non;Non;Non;Non;Non;;;;;;;Oui;Non;Non;
BA11968;F;13;30/05/2020;20/03/2023;Oui;Oui;Oui;Oui;Oui;;;;;;;Non;Non;Non;
BA11969;M;13;30/05/2020;13/09/2021;Oui;Oui;Non;Non;Non;;;;;;;Oui;Non;Non;
BA11939;M;37;19/05/2021;08/03/2023;Oui;Oui;Oui;;;;;;;;;Non;Non;Non;
BA11940;F;37;19/05/2021;20/03/2023;Oui;Oui;Oui;;;;;;;;;Non;Non;Non;
BA11938;F;86;20/05/2021;20/03/2023;Oui;Oui;Oui;;;;;;;;;Non;23/01/2024;Non;
BA12012;M;75;26/05/2021;15/01/2022;Oui;?;?;;;;;;;;;NA;Non;Non;
BA12021;M;19;26/05/2021;20/03/2023;Oui;Oui;Oui;;;;;;;;;Non;08/04/2023;Non;
BA12011;F;75;28/05/2021;23/01/2023;Oui;Oui;Oui;;;;;;;;;Non;Non;Non;
BA12008;F;89;07/06/2021;27/09/2021;Non;Non;Non;;;;;;;;;Oui;Non;Non;
BA12007;F;89;09/06/2021;20/03/2023;Oui;Oui;Oui;;;;;;;;;Non;04/01/2023;Non;
BA12039;F;26;12/06/2021;19/03/2023;Oui;Oui;Oui;;;;;;;;;Non;Non;Non;
BA12014;F;77;15/06/2021;20/03/2023;Oui;Oui;Oui;;;;;;;;;Non;Non;Non;
BA12040;M;23;17/06/2021;20/03/2023;Oui;Oui;Oui;;;;;;;;;Non;Non;Non;
BA12022;M;24;19/06/2021;03/11/2021;?;?;?;;;;;;;;;NA;Non;Non;
BA12023;F;24;19/06/2021;25/04/2022;Oui;Non;Non;;;;;;;;;Oui;Non;Non;
BA12013;M;87;21/06/2021;20/03/2023;Oui;Oui;Oui;;;;;;;;;Non;Non;Non;
BA12018;M;5;21/06/2021;06/08/2021;?;?;?;;;;;;;;;NA;Non;Non;
BA12058;M;3;22/05/2022;25/09/2022;Non;;;;;;;;;;;Oui;Non;Non;
BA12059;M;3;23/05/2022;22/08/2022;Non;;;;;;;;;;;Oui;Non;Non;
BA12030;M;22;31/05/2022;21/07/2022;Non;;;;;;;;;;;Oui;Non;Non;
BA12057;F;6;12/06/2022;03/02/2023;Oui;;;;;;;;;;;Non;Non;Non;
BA12031;M;5;18/06/2022;19/03/2023;Oui;;;;;;;;;;;Non;Non;Non;
BA12033;F;5;18/06/2022;29/12/2022;Oui;;;;;;;;;;;Non;Non;Non;
BA12056;F;6;04/07/2022;20/03/2023;Oui;;;;;;;;;;;Non;Non;Non;
